Forecast_0,Forecast_1,Forecast_2,Forecast_3,Forecast_4,Forecast_5,Forecast_6,Forecast_7,Forecast_8,Forecast_9,Forecast_10,Forecast_11,Forecast_12,Forecast_13,True_0,True_1,True_2,True_3,True_4,True_5,True_6,True_7,True_8,True_9,True_10,True_11,True_12,True_13
0.15072662,0.39955622,0.06857263,0.36134437,0.35023597,0.5520242,0.322969,0.6219552,0.51986223,0.3756106,0.47478235,0.58982635,0.9347658,0.06720905,0.17647052,0.52563095,0.0,0.42645606,0.24238783,0.45061606,0.27952754,0.78070176,0.44918332,0.35608774,0.38195455,0.50015557,1.0,0.016666668
0.1496998,0.39736214,0.07044251,0.3651411,0.35184303,0.55296606,0.32343075,0.6273185,0.52060163,0.3726055,0.4755487,0.5908054,0.9351743,0.066454805,0.17647052,0.52563095,0.0,0.4318855,0.24198717,0.45100725,0.28149605,0.78070176,0.45009077,0.35676682,0.38195455,0.50015557,1.0,0.016666668
0.14865345,0.3949598,0.07208985,0.36990517,0.35241362,0.5530515,0.3238625,0.63094074,0.5210443,0.3707563,0.4757077,0.59099215,0.9356187,0.065231055,0.17647052,0.52563095,0.0,0.42645606,0.24198717,0.45100725,0.28149605,0.81600875,0.45099822,0.35633656,0.38195455,0.50015557,1.0,0.0
0.14836091,0.39400175,0.077305466,0.38490978,0.35757726,0.55626655,0.32649225,0.6444813,0.52359176,0.36759877,0.4783714,0.5936122,0.9359622,0.0625477,0.17647052,0.51236725,0.0,0.46989143,0.23517632,0.451594,0.28149605,0.82741225,0.45099822,0.35630268,0.38195455,0.50015557,1.0,0.0
0.14747772,0.39174986,0.08887704,0.4183555,0.36580557,0.5614004,0.3318983,0.66488856,0.5282836,0.36410886,0.48303664,0.5971777,0.938628,0.060886484,0.0,0.51236725,0.0,0.5064166,0.23838145,0.45120284,0.28346455,0.55263156,0.45190564,0.35630268,0.38195455,0.50015557,1.0,0.0
0.12742792,0.35942477,0.06769152,0.31643933,0.30569738,0.51722455,0.3093021,0.56831396,0.5026339,0.372345,0.4466391,0.5630353,0.9470255,0.06971823,0.0,0.51236725,0.0,0.0009871669,0.2411859,0.45198512,0.27755904,0.10526315,0.44010893,0.3529359,0.38537803,0.5024683,1.0,0.0
0.062951796,0.37259576,0.02160725,0.017589986,0.2766978,0.48078677,0.2773952,0.09663288,0.43787074,0.34985664,0.46756917,0.5352261,0.94134665,0.044532746,0.0,0.51236725,0.0,0.0,0.24078524,0.451594,0.27755904,0.09802631,0.44010893,0.3513236,0.39048693,0.50467396,1.0,0.0
0.074425094,0.38871682,0.022840891,0.018740118,0.27534136,0.48340544,0.27610356,0.12107906,0.43920782,0.36386502,0.46425846,0.5395322,0.9445271,0.046681076,0.0,0.51236725,0.0,0.0,0.2411859,0.4513984,0.27755904,0.096491225,0.44010893,0.3506254,0.39217827,0.5115619,1.0,0.0
0.07120697,0.3745949,0.023359489,0.0182653,0.2705967,0.47959375,0.27650616,0.12125598,0.4394023,0.35870647,0.46041214,0.53516567,0.9438788,0.043151863,0.0,0.4990139,0.0,0.0,0.2411859,0.45120284,0.27755904,0.096491225,0.44010893,0.34671676,0.3939246,0.51381356,1.0,0.0
0.06649115,0.37321866,0.021772023,0.0151953995,0.27207187,0.48006412,0.2766301,0.108856566,0.43831587,0.3538174,0.46439207,0.535565,0.94963604,0.040074587,0.0,0.4990139,0.0,0.0,0.2411859,0.45100725,0.27755904,0.096491225,0.44010893,0.3454943,0.39731964,0.51833266,1.0,0.0
0.06557885,0.37455434,0.021696724,0.01449766,0.2731299,0.4811893,0.27651283,0.108740665,0.4382853,0.35236183,0.46634716,0.536985,0.95190185,0.038292497,0.0,0.4990139,0.0,0.0,0.2411859,0.45061606,0.27755904,0.096491225,0.44010893,0.34447762,0.39731964,0.51833266,1.0,0.0
0.06522334,0.3750345,0.021813728,0.014440417,0.27392098,0.48194957,0.27649382,0.10923338,0.438398,0.35129634,0.46745947,0.53783923,0.9527824,0.03722838,0.0,0.4990139,0.0,0.0,0.2411859,0.45120284,0.27755904,0.096491225,0.44010893,0.34286705,0.40067932,0.52067864,1.0,0.0
0.064139195,0.3759761,0.021470405,0.013919897,0.2751395,0.48284763,0.27658677,0.10628863,0.43828106,0.34999275,0.4694396,0.53878146,0.9538548,0.036189996,0.0,0.4990139,0.0,0.0,0.24158657,0.4521807,0.27755904,0.10526315,0.44010893,0.3420017,0.40067932,0.52067864,1.0,0.0
0.06427574,0.37760153,0.021377578,0.013483897,0.2754038,0.48395702,0.27631196,0.10993646,0.4385222,0.35033423,0.47044954,0.5405255,0.953874,0.035687275,0.0,0.48523712,0.0,0.0,0.24158657,0.45296305,0.27755904,0.09802631,0.44010893,0.3466072,0.40067932,0.52295715,1.0,0.0
